ticker,quarter,speaker,role,topic,quote,tone_flag
NRTH,Q1-2026,Dana Whitfield,CEO,gross_margin,"Gross margin compressed 110 basis points this quarter and we want to be direct about why: we accepted lower margin on two enterprise deals to lock in three-year contracts. We expect this to recover by Q3 as those contracts ramp.",specific_commitment
NRTH,Q1-2026,Dana Whitfield,CEO,competition,"Two competitors have started discounting in the mid-market. We are not matching. If that costs us 200 to 300 basis points of share growth this year, we will accept it. The unit economics of matching do not work for us.",specific_commitment
NRTH,Q1-2026,Marcus Olin,CFO,capital_allocation,"We did not repurchase shares this quarter. The stock is up 40 percent year to date and we do not see compelling value at these levels. We will revisit if the multiple compresses.",disciplined
VLTC,Q1-2026,Greta Hsu,CEO,gross_margin,"We feel really good about where gross margin is trending. The team has done excellent work and we are very comfortable with the trajectory.",hedging
VLTC,Q1-2026,Greta Hsu,CEO,retention,"Net revenue retention came in a little softer than we would have liked but the underlying signals are strong and we are seeing green shoots in the cohorts.",hedging
VLTC,Q1-2026,Peter Lansing,CFO,guidance,"We are reiterating full year guidance. There may be some lumpiness in the quarterly cadence but on a full year basis we feel confident.",hedging
KPRA,Q1-2026,Owen Ferreira,CEO,product,"Our new platform tier is performing ahead of expectations. We added 240 net new logos this quarter against an internal plan of 180.",specific_commitment
KPRA,Q1-2026,Owen Ferreira,CEO,churn,"We did see elevated churn in the SMB segment driven by macro pressure on smaller customers. We expect this to normalize over the next two quarters.",specific_commitment
KPRA,Q1-2026,Lisa Tran,CFO,margins,"Operating margin expanded 220 basis points and we now expect to exit the year above the high end of the prior range.",specific_commitment
BRDG,Q1-2026,Henrik Vossen,CEO,r_and_d,"We are reinvesting our gross profit dollars into the next generation product. This will pressure operating margin for the next four to six quarters and we want to be clear about that with shareholders.",specific_commitment
BRDG,Q1-2026,Henrik Vossen,CEO,competition,"We do not believe we are losing share. Our renewal rate ticked up 80 basis points and our gross adds were a record this quarter.",specific_commitment
SOLN,Q1-2026,Priya Aggarwal,CEO,growth,"This was a transformational quarter for the company and we are incredibly excited about the runway ahead. The total addressable market is massive and we are just scratching the surface.",hedging
SOLN,Q1-2026,Priya Aggarwal,CEO,profitability,"Profitability is not the primary lens for the business right now. We are focused on capturing the opportunity in front of us. We will get there over time.",deflecting
SOLN,Q1-2026,Reggie Park,CFO,unit_economics,"CAC payback has lengthened a bit this quarter due to some go to market investments but we expect this to normalize.",hedging
MERI,Q1-2026,Iris Cohen,CEO,turnaround,"Last year we said we would take operating margin from 4 percent to 9 percent within 18 months. We are at 8.2 percent today, three quarters in. We will exit Q4 above 10 percent.",specific_commitment
MERI,Q1-2026,Iris Cohen,CEO,buybacks,"We repurchased 2.4 percent of shares outstanding this quarter at an average price 18 percent below the current trading level. We were patient and the patience paid.",disciplined
TGRA,Q1-2026,Marcus Sutter,CEO,growth,"We are evolving our go to market motion to better align with the customer journey. There is a lot of work in flight and we are encouraged by the early indicators.",hedging
TGRA,Q1-2026,Marcus Sutter,CEO,leadership,"I want to thank Dan for his leadership over the past two years. The board and I felt this was the right moment to bring in a new perspective on the CFO seat.",deflecting
TGRA,Q1-2026,Pat Yu,Interim CFO,guidance,"We are withdrawing prior full year guidance while the new operating plan is finalized. We expect to provide updated commentary on the Q2 call.",hedging
