company,event_type,date,summary,partner_owner
Northwind Robotics,Funding,2026-05-22,Closed $42M Series C led by Argent Capital; expanding warehouse automation pilots with two Fortune 100 logistics customers,Partner A
Larkspur Bio,Hire,2026-05-21,Hired Dr. Lena Osei (ex-Genentech) as Chief Medical Officer; signals push into clinical-stage trials,Partner B
Meridian Grid,Product Launch,2026-05-23,Launched grid-balancing API for utility customers; first paying customer is Pacific Northwest co-op,Partner C
Hollow Oak Coffee,Funding,2026-05-20,Raised $18M Series B; opening 12 new locations in the Southeast,Partner A
Northwind Robotics,Customer Win,2026-05-25,Signed multi-year contract with national parcel carrier; not yet announced publicly,Partner A
Larkspur Bio,Regulatory,2026-05-24,FDA cleared IND application for lead oncology candidate,Partner B
Sable Analytics,Hire,2026-05-19,Promoted Maya Chen to President; founder transitions to Executive Chair,Partner D
Meridian Grid,Partnership,2026-05-26,Announced partnership with regional ISO to pilot capacity forecasting model,Partner C
Carbide Print,Funding,2026-05-23,Closed $9M bridge round; runway extended to Q1 2027,Partner D
Larkspur Bio,Press,2026-05-26,Profiled in STAT News on novel platform approach; CMO quoted extensively,Partner B
