company,ticker,revenue_ttm_musd,headcount,runway_months,growth_rate_qoq,last_round_size_musd,last_round_date,key_exec_count,customer_count
Northwind Analytics,NWND,42.4,182,21,0.18,55,2025-03-12,8,142
Helios Robotics,HLRB,18.2,78,11,0.19,30,2024-11-04,5,36
Cobalt Bio,COBL,8.3,63,29,0.10,45,2025-01-22,7,12
Riverstone Labs,RVST,30.1,142,17,0.21,40,2024-09-15,8,88
Pelican Pay,PELP,76.0,312,28,0.13,120,2025-02-08,11,895
Marlin Security,MRLN,22.4,112,15,0.28,35,2024-12-01,7,66
Tessera Cloud,TSRA,96.0,425,35,0.20,200,2025-04-19,12,1610
Solstice Health,SLST,11.4,80,9,0.04,25,2024-08-30,6,40
Verity Compliance,VRTY,33.2,162,23,0.16,60,2025-02-25,9,212
Bramble AI,BMBL,7.1,55,32,0.41,40,2025-05-22,5,22
Quanta Logistics,QNTL,55.4,238,19,0.12,80,2024-10-18,9,308
Pikepoint Energy,PIKE,40.2,201,25,0.07,75,2025-01-10,8,54
Garnet Education,GRNT,14.8,89,15,0.12,28,2024-12-22,6,178
Linden Realty Tech,LNDN,20.2,121,17,0.10,38,2025-02-14,6,76
Mosswood Foods,MSWD,29.6,168,20,0.05,42,2024-11-28,7,96
